text_id,key2,key3,en,da,nl,sv,no,el,it,de,es,fr,et,ja
question1,text,,How were your drinking needs?,Hvordan har dit væskeindtag været?,Hoeveel dorst had u?,Hur var ditt vätskebehov?,Hvordan har drikkebehovene dine vært?,Πώς είναι η ανάγκη σας για νερό;,Come è stato il tuo bisogno di bere?,Wie ist Ihre Flüssigkeitseinnahme gewesen?,¿Cómo ha sido tu necesidad para beber?,Quels ont été vos besoins d'hydratation ?,How were your drinking needs?,How were your drinking needs?
question1,ratingtext,1,Much higher than expected,Meget højere end normalt,Veel meer dan verwacht,Mycket högre än förväntat,Mye høyere enn forventet,Πολύ υψηλότερη από το αναμενόμενο,Molto più alto di quanto mi aspettassi,Viel höher als erwartet,Mucho más alta de lo esperado,Beaucoup plus élevés que prévu,Much higher than expected,Much higher than expected
question1,ratingtext,2,Higher than expected,Højere end normalt,Meer dan verwacht,Högre än förväntat,Høyere enn forventet,Υψηλότερη από το αναμενόμενο,Più alto di quanto mi aspettassi,Höher als erwartet,Más alta de lo esperado,Plus élevés que prévu,Higher than expected,Higher than expected
question1,ratingtext,3,Normal,Normalt,Normaal,Normalt,Vanlig,Κανονική,Normale,Normal,Normal,Normaux,Normal,Normal
question1,ratingtext,4,Lower than expected,Lavere end normalt,Minder dan verwacht,Lägre än förväntat,Mindre enn forventet,Λιγότερη από το αναμενόμενο,Più basso di quanto mi aspettassi,Niedriger als erwartet,Más baja de lo esperado,Plus faibles que prévu,Lower than expected,Lower than expected
question1,ratingtext,5,Much lower than expected,Meget lavere end normalt,Veel minder dan verwacht,Mycket lägre än förväntat,Mye lavere enn forventet,Πολύ λιγότερη από το αναμενόμενο,Molto più basso di quanto mi aspettassi,Viel niedriger als erwartet,Mucho más baja de lo esperado,Beaucoup plus faibles que prévu,Much lower than expected,Much lower than expected
question2,text,,Did you take more breaks than usual/did you get more exhausted than usual?,Har du taget flere pauser end du plejer/været mere udmattet?,Nam u meer pauzes dan normaal/raakte u vermoeider dan normaal?,Tog du fler raster än vanligt/blev du mer utmattad än vanligt?,Tok du flere pauser enn vanlig/ble du mer utslitt enn vanlig?,Κάνετε περισσότερα διαλείμματα απ' ότι συνήθως/κουράζεστε περισσότερο απ' ότι συνήθως;,Hai fatto più pause del solito / ti sei stancato più del solito?,Haben Sie mehrere Pausen als normal gemacht/sind Sie mehr erschöpft als normal?,¿Tomaste más descansos de lo habitual / te cansaste más de lo habitual?,Avez-vous fait plus de pauses que d'habitude/avez-vous été plus fatigué que d'habitude ?,Did you take more breaks than usual/did you get more exhausted than usual?,Did you take more breaks than usual/did you get more exhausted than usual?
question2,ratingtext,1,A lot more exhausted than usual,Meget mere udmattet end normalt,Veel vermoeider dan normaal,Mycket mer utmattad än vanligt,Mye mer utmattet enn vanlig,Πολύ περισσότερο κουρασμένος απ' ότι συνήθως,Molto più stanco del solito,Viel mehr erschöpft als normal,Mucho más cansada(o) que de costumbre,Beaucoup plus fatigué que d'habitude,A lot more exhausted than usual,A lot more exhausted than usual
question2,ratingtext,2,More exhausted than usual,Mere udmattet end normalt,Vermoeider dan normaal,Mer utmattad än vanligt,Mer utmattet enn vanlig,Περισσότερο κουρασμένος απ' ότι συνήθως,Più stanco del solito,Mehr erschöpft als normal,Más cansada(o) que de costumbre,Plus fatigué que d'habitude,More exhausted than usual,More exhausted than usual
question2,ratingtext,3,Normal,Det har været normalt,Normaal,Normalt,Jeg har hatt det fint,Κανονικά,Normale,Normal,Normal,Normal,Normal,Normal
