text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja,
str_dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashbord,Πίνακας (εργαλείων/ενδείξεων),Dashboard,Instrumentenbrett,Tablero,Tableau de bord,Dashboard,Dashboard,
str_settings,Settings,Indstillinger,Instellingen,Inställningar,Innstillinger,Ρυθμίσεις,Impostazioni,Einstellungen,Ajustes,Paramètres,Settings,Indstillinger,
str_continue,Continue,Fortsæt,Verder,Fortsätt,Fortsett,Συνέχεια,Continua,Weitermachen,Continuar,Continuer,Continue,Fortsæt,
str_colder,colder,koldere,kouder,kallare,kaldere,Ψυχρότερο,più freddo,Kälter,Más frío,plus froid,colder,koldere,
str_warmer,warmer,varmere,warmer,varmare,varmere,Πιο ζεστό,più caldo,Wärmer,Más cálido,plus chaud,warmer,varmere,
str_ok,OK,OK,OK,OK,OK,ΟΚ,OK,O.K.,OK,OK,OK,OK,
str_choose_location,Choose location,Vælg placering,Kies locatie,Välj plats,Velg plasering,Επιλογή τοποθεσίας,Scegli la posizione,Lokalität auswählen,Elige la ubicación,Choisir emplacement,Choose location,Vælg placering,
str_personalise,personalise,personlig tilpasning,Personaliseren,Personalisera,Tilpass,Προσωποιώ,Personalizza,Anpassen,Personalizar,personnaliser,personalise,personlig tilpasning,
str_more_info,more info,mere information,Meer info,mer information,Mer informasjon,Περισσότερες πληροφορίες,Ulteriori informazioni,Weitere Information,Más información,plus d'infos,more info,mere information,
str_done,Done,Færdig,Klaar,Färdig,Ferdig,Έγινε/Ολοκληρώθηκε,Fatto,Fertig,Listo,Terminé,Done,Færdig,
str_cancel,Cancel,Afbryd,Annuleren,Avbryt,Avbryt,Ακύρωση,Cancella,Abbrechen,Cancelar,Annuler,Cancel,Afbryd,
str_set_location,Set location,Sæt placering,Stel locatie in,Sätt plats,Sett plasering,Ορίσατε τοποθεσία,Fissa la posizione,Lokalität definieren,Definir la ubicación,Définir emplacement,Set location,Sæt placering,
str_activity,Activity,Aktivitet,Activiteit,Aktivitet,Aktivitet,Δραστηριότητα,Attività,Aktivität,Actividad,Activité,Activity,Aktivitet,
str_clothing,Clothing,Beklædning,Kleding,Kläder,Antrekk,Ρουχισμός,Abbigliamento,Kleidung,Vestimenta,Vêtements,Clothing,Beklædning,
str_headgear,Headgear,Hovedbeskyttelse,Hoofdbedekking,Huvudbonad,Hodebeskyttelse,Εξοπλισμός κεφαλιού,Copricapo,Kopfbedeckung,Protector de cabeza,Chapeau,Headgear,Hovedbeskyttelse,
str_cred,Credits,Kilde,Erkenning,Medverkande,Kilde,Εύσημα/Δικαιώματα φωτογραφίας,Fonte,Quelle,Creditos,Crédits images,Credits,Kilde,
str_app_info,App information,Information,Informatie,Information,Informasjon,Πληροφορίες εφαρμογής,Informazioni,App Information,Información de la App,Information de l'app,App information,Information,
str_welcome,Welcome,Velkommen,Welkom,Välkommen,Velkommen,Καλωσήρθατε,Benvenuto,Willkommen,Bienvenido,Bienvenue,Welcome,Velkommen,
str_personal_settings,Personal settings,Personlige indstillinger,Persoonlijke instellingen,Personliga inställningar,Personlige innstillinger,Προσωπικές ρυθμίσεις,Impostazioni personali,Persönliche Einstellungen,Ajustes personales,Paramètres personnels,Personal settings,Personlige indstillinger,
str_preferences,Preferences,Foretrukne,Voorkeuren,Preferenser,Preferanser,Προτιμήσεις,Preferenze,Präferenzen,Preferencias,Préférences,Preferences,Foretrukne,
str_other,Other,Andet,Anders,Annat,Annet,Άλλο,Altro,Sonstiges,Otro,Autre,Other,Andet,
str_forecast,Forecast,Vejrudsigt,Voorspelling,Prognos,Værmelding,Δελτίο καιρού,Previsioni,Vorhersage,Pronóstico,Prévisions,Forecast,Vejrudsigt,
str_more_questions,More questions,Flere spørgsmål,Meer vragen,Fler frågor,Flere spørgsmål,Περισσότερες ερωτήσεις,Altre domande,Weitere Fragen,Más preguntas,Plus de questions,More questions,Flere spørgsmål,
str_submit_data,Submit data,Send data,Verzenden,Skicka data,Send data,Υποβολή δεδομένων,Invia dati,Daten übertragen,Presentar los datos,Soumettre les données,Submit data,Send data,
str_custom_location,Custom location,Valgfri placering,Eigen locatie,Anpassad plats,Valgfri plassering,Προσαρμοσμένη τοποθεσία,Posizionamento personalizzato,Wahlfreie Lokalität,Ubicación personalizada,Emplacement personnalisé,Custom location,Valgfri placering,
str_location,Location,Placering,Locatie,Plats,Plassering,Τοποθεσία,Posizione,Lokalität,Ubicación,Emplacement,Location,Placering,
str_disclaimer,Disclaimer,Disclaimer,Disclaimer,Villkor,Ansvarsfraskrivelse,Αποποίηση ευθυνών,Dichiarazione di non responsabilità,Verantwortungsverzicht,Descargo de responsabilidad,Avertissement,Disclaimer,Disclaimer,
str_privacy,Privacy,Datasikkerhed,Privacy,Integritet,Personvern,Ιδιωτικό απόρρητο,Privacy,Privatleben,Privacidad,Confidentialité,Privacy,Datasikkerhed,
str_details,Details,Detaljer,Details,Detaljer,Detaljer,Λεπτομέρειες,Dettagli,Detaillen,Detalles,Détails,Details,Detaljer,
str_weather,Weather,Vejr,Weer,Väder,Vær,Καιρός,Tempo atmosferico,Wetter,Tiempo meteorológico,Météo,Weather,Vejr,
str_user,User,Bruger,Gebruiker,Användare,Bruker,Χρήστης,Utente,Benutzer,Usuario,Utilisateur,User,Bruger,
str_custom,Custom,Tilpasset,Aangepast,Anpassad,Tilpasset,Προσαρμοσμένος,Posizionamento personalizzato,Angepasst,Personalizado,Habitude,Custom,Tilpasset,
str_thermostat,Thermostat,Termostat,Thermostaat,Termostat,Termostat,Θερμοστάτης,Termostato,Thermostat,Termostato,Thermostat,Thermostat,Termostat,
str_windows,Windows,Vinduer,Ramen,Fönster,Vinduer,Παράθυρα,Finestre,Fenstern,Ventanas,Fenêtres,Windows,Vinduer,
