text_id,key2,key3,en,da,nl,sv,no,el,it,de,es,fr,et,ja
activity,title,,What is your activity level?,Hvad er dit aktivitetsniveau?,Wat is uw inspanningsniveau?,Vad har du för aktivitetsnivå?,Hva er aktivitetsnivået ditt?,Ποιο είναι το επίπεδο της δραστηριότητάς σας;,Qual è il tuo livello di attività?,Was ist dein Aktivitätsniveau,¿Cuál es tu nivel de actividad?,Quel est votre niveau d'activité ?,What is your activity level?,What is your activity level?
activity,description,rest,"Resting, sitting at ease.<br>Breathing not challenged.",Hvile eller stillesiddende med meget lavt aktivitetsniveau,"Rusten, zitten <br>normaal ademen","Vilande, sittandes.<br>Normal andning","Hviler, sitter i ro. <br>Pusten er ikke forstyrret.","Ξεκούραση, καθιστός/η σε ηρεμία. Η αναπνοή είναι κανονική","Riposarsi, rimanere seduti.<br> Respirazione non limitata","Ruhe, still sitzen. <br>Atmen nicht herausgefordert","Descansando, sentado a gusto. <br> Respiración no desafiada.","Se reposer, s'asseoir à l'aise. <br>Respiration non perturbée.","Resting, sitting at ease.<br>Breathing not challenged.","Resting, sitting at ease.<br>Breathing not challenged."
activity,description,low,"Light manual work:<br>writing, typing, drawing, book-keeping.<br>Easy to breathe and carry on a conversation.",Let manuelt arbejde: siddende eller stående uden fysiske udfordringer,"Licht hand werk <br> schrijven, typen, tekenen, boekhouding.<br> Makkelijk om rustig adem te halen en een gesprek te voeren.
",Lätt manuellt arbete:<br>sittande eller stående utan fysisk påfrestning.<br>Enkelt att andas och samtidigt föra en konversation,"Lett manulet arbeid: skriving, tegning, bokføring. Lett å puste og føre en  samtale.","Ελαφριά χειρονακτική εργασία:\ γράψιμο, δακτυλογραφία, ζωγραφική, τήρηση λογιστικών βιβλίων.\ Ευκολία στην αναπνοή και την διεξαγωγή συζήτησης.","Leggero lavoro manuale: scrittura, disegno, contabilità. Sia la respirazione che l’intrattenimento di una coversazione sono facili.","Leichte manuelle Arbeit:<br>schreiben, zeichnen, Buchführung.<br>Leicht zu atmen und Gespräche zu führen.","Trabajo manual ligero: <br> escritura, mecanografía, dibujo, contabilidad. <br>Fácil de respirar y mantener una conversación.","Travail manuel léger : écrire, taper à l'ordinateur, dessiner, tenir des comptes. <br>Facile de respirer et de tenir une conversation.","Light manual work:<br>writing, typing, drawing, book-keeping.<br>Easy to breathe and carry on a conversation.","Light manual work:<br>writing, typing, drawing, book-keeping.<br>Easy to breathe and carry on a conversation."
activity,description,medium,"Walking. Sustained arm and hand work: handling moderately heavy machinery, weeding, picking fruits.",Moderat aktivitet - svarer til gang ved 2.5-5.5 km/t eller lignende vedvarende arm-/overkrops-arbejde.,"Lopen 2.5 - 5.5km/u. Constant arm en hand werk: hanteren van gemiddeld zware werktuigen, onkruid wieden, fruit plukken.
","Gång 2.5-5.5km/h. Kontinuerligt arbete med armar och händer vid arbete med tungt maskineri, plocka ogräs eller frukt.","Gå 2.5-5.5 km/t. Vedvarende arm- og håndarbeid: håndtering av moderat tungt maskiner, luke plukke frukt.","Περπάτημα 2,5 - 5,5χιλ/ώρα.Συνεχής δουλειά με τους ώρους και τα χέρια: χειρισμός σχετικά βαρέων μηχανημάτων, ξεχορτιάριασμα, μάζεμα φρούτων","Camminata a 2,5 - 5,5 km/h. Lavori di braccia e manuali persistenti: movimentazione di macchinari pesanti, diserbatura, raccolta di frutti.","Gehen 2,5 - 5,5 km/h. Andauernd Arm- und Handarbeit: Handhabung moderat schwerer Maschinen, jäten, obst pflücken ","Caminando 2.5 - 5.5km/h. Trabajo sostenido de brazos y manos: manejo de maquinaria moderadamente pesada, deshierbe, recolección de frutas.","Marcher à 2,5 - 5,5km/h. Travail soutenu des bras et des mains : manutentionner des machines moyennement lourdes, désherber, cueillir des fruits.","Walking. Sustained arm and hand work: handling moderately heavy machinery, weeding, picking fruits.","Walking. Sustained arm and hand work: handling moderately heavy machinery, weeding, picking fruits."
activity,description,high,"Intense arm and trunk work: carrying heavy material, shovelling, sawing, hand mowing, concrete block laying.","Intens aktivitet: Fx bære tunge materialer, slå græs, grave, lægge brosten eller cykle med moderat tempo (15-25 km/t).","Intens arm en romp werk: zwaar materiaal tillen, schoffelen, zagen, handmaaien, wegdekken.
","Tungt arm- och bålarbete: bära tunga material, gräva, såga, klippa gräs, lägga betongblock.","Intens armarbeid: bæring av tungt materiale, måking, saging, håndklipping, betongblokklegging.","Έντονη δουλειά με το μπράτσο και τον κορμό: κουβάλημα βαρέων υλικών, φτυάρισμα, πριόνισμα, κόψιμο με το χέρι, τοποθέτηση τσιμεντόλιθων.","Intenso lavoro di braccia e tronco: trasporto di materiale pesante, guarnizione, segatura, taglio manuale, posatura di blocchi di calcestruzzo.","Intensive Armarbeit: Tragen schwerer Materialien, Sägen, Rasenmähen von Hand, Betonblöcke legen.","Trabajo intenso en el brazo y el tronco: llevar material pesado, palear, aserrar, cortar a mano, colocar bloques de hormigón.","Travail intense des bras et du tronc : porter du matériel lourd, pelleter, scier, tondre manuellement, poser des blocs de béton.","Intense arm and trunk work: carrying heavy material, shovelling, sawing, hand mowing, concrete block laying.","Intense arm and trunk work: carrying heavy material, shovelling, sawing, hand mowing, concrete block laying."
activity,description,intense,"Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Zeer intensieve werkactiviteit op maximale snelheid:<br> werken met een bijl, traplopen, rennen op vlakke ondergrond.<br> ClimApp is niet bedoeld voor sport.","Väldigt tungt arbete vid maximal takt:<br>arbete med yxa, gå i trappor, löpning på plan mark.<br>ClimApp är inte avsedd för sport.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports.","Very intense occupational activity at fast maximum pace:<br>working with an axe, climbing stairs, running on level surface.<br>ClimApp is not intended for sports."
activity,label,rest,Rest ,Hvile,Rust,Vila,Hvile,"Ξεκούραση,",Riposo,Ruhe,Reposo,Repos,Rest ,Rest 
activity,label,low,Low,Let,Licht,Lätt,Lett,Ελαφριά,Leggero,Leicht,Ligero,Légère,Low,Low
activity,label,medium,Moderate,Middel,Gemiddeld,Medium,Middel,Μέτρια,Medio,Medium,Medio,Moyenne,Moderate,Moderate
activity,label,high,High,Høj,Hoog,Tungt,Høy,Ψηλή,Elevato,Hoch,Elevado,Elevée,High,High
