text_id,en,da,nl,sv,no,el,it,de,es,fr
onboarding_to_settings,"In order for the app to personalize the feedback provided to you, we recommend that you input your personal information. Tap 'Settings' to proceed.","For at appen kan personalisere din information, anbefaler vi, at du indtaster dine personlige oplysninger. Tryk på 'Indstillinger' for at fortsætte.",,,"For at appen skal tilpasse tilbakemeldingene du får, anbefaler vi at du legger inn den personlige informasjonen din. Trykk på 'Innstillinger' for å fortsette.",,,,,
onboarding_to_dashboard,"If you do not feel like doing so, no problem, the app will use predefined values instead. Tap 'Dashboard' to proceed.","Hvis du ikke vil indtaste dine personlige oplysninger, er det også okay, appen vil så benytte foruddefinerede værdier. Tryk på 'Instrumentbræt' for at fortsætte.",,,"Hvis du ikke har lyst til å gjøre det, er det ikke noe problem, da vil appen bruke forhåndsdefinerte verdier i stedet. Trykk på 'Dashbord' for å fortsette.",,,,,
about_read_more,"Read more on the official website: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.","Læs mere på den officielle hjemmeside: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.",,,"Les mer på det offisielle nettstedet: <a href=""http://www.jpi-climate.eu/nl/25223441-ClimApp.html"">http://www.jpi-climate.eu/nl/</a>.",,,,,
about_acknowledge_flaticon,"Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> from <a href=""www.flaticon.com"">Flaticon</a>","Ikoner for aktiviteter lavet af <a href=""http://www.freepik.com/"">Freepik</a> fra <a href=""www.flaticon.com"">Flaticon</a>",,,"Ikoner for aktivitetsnivå laget av <a href=""http://www.freepik.com/""> Freepik </a> fra <a href=""www.flaticon.com""> Flaticon </a>",,,,,
about_acknowledge_fontawesome,"Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Vejr- og navigationsikoner fra <a href=""https://fontawesome.com/"">FontAwesome</a>.",,,"Vær- og navigasjonsfeltikoner fra <a href=""https://fontawesome.com/""> FontAwesome </a>",,,,,
forecast_desc,The forecast of your personal expected heat stress is shown below.,Fremskrivningen af dit personlige varmestress er vist nedenunder.,,,Prognosen for din personlige forventede varmestress vises nedenfor.,,,,,
forecast_disclaimer,The bandwidth corresponds to uncertainty for the heat of the sun due to clouds.,Bredere områder svarer til en usikkerhed i varmebelastningen pga. skyer.,,,De bredere områdene svarer til usikkerheten for solvarmen på grunn av skyer.,,,,,
feedback_tap_adjust,Tap the buttons to adjust the gauge to your thermal experience.,"Tryk på knapperne for at tilpasse hjulet til, hvordan du har oplevet vejret. ",,,Trykk på knappene for å justere måleren til din termiske opplevelse.,,,,,
feedback_adaptation_score,Your personal adaptation score.. ,Din personlige tilpasningsscore,,,Din personlige tilpasningsscore,,,,,
disclaimer_under_development,This application is still under development. Several new features will be implemented over the course of the next two years. Therefore all users should be informed that frequent updates and changes to the layout and content might occur.,"Denne applikation er stadig under udvkling. Nye funktionaliteter vil blive tilføjet i løbet af de næste to år. Af denne årsag informerer vi brugeren om, at hyppige opdateringer og ændringer til indhold og design kan forekomme.",,,Denne applikasjonen er fortsatt under utvikling. Flere nye funksjoner blir implementert i løpet av de neste to årene. Derfor informeres brukere om at hyppige oppdateringer og endringer i layout og innhold kan forekomme.,,,,,
